gene,pval,mean_leve,mean_grave,log2fc,log2fc_div
BACE2,1.1730463950880326e-05,5.241051838142858,4.7018833862758616,-0.1303506608781655,-0.1566176199951791
HYI,0.00017110431316785988,6.0203310783749995,5.796247311103448,-0.04680071731277824,-0.05472367551868656
C12orf56,0.00031018441199871376,1.765548476375,1.987522731034483,0.11138405931155826,0.17085492692113588
LOC100287428,0.0005275109201540443,4.832917489303571,4.340605283724138,-0.12721440566271625,-0.15499812837840424
CFD,0.0005670249831436508,6.724678076428573,7.54431716837931,0.14549039102111117,0.16592512452624877
PPDPF,0.0005899920225884649,8.670035223916667,8.247145463206897,-0.06451306156083136,-0.07214300066231645
HMGN4,0.0006267712227726473,8.350399419916666,8.551699506425287,0.030729456815782097,0.03436595301274236
BRE,0.0006754511113692517,7.217211895041667,7.045300430218391,-0.030502674093801918,-0.034780384278523806
SLC24A3,0.0007275272508088493,5.357170248866071,4.895912647534482,-0.10866957523642684,-0.12989332727920888
COL6A3,0.0007368298227266569,3.503665706178572,3.143569857896552,-0.1202254991137166,-0.15646130650996504
IL12A,0.0007647311039173172,2.024268551,2.2254501246551723,0.09291425389753294,0.13669646953330875
SPINT2,0.0008585986157483674,7.386874118482142,7.124370132137932,-0.04587723451196535,-0.0522015218750671
VOPP1,0.000907658644988596,10.307228708999999,10.050366909103447,-0.033151109520646926,-0.036408318443750365
SERINC2,0.0009104668567988493,4.386797162928572,4.11357505224138,-0.07509546738713224,-0.09277523471079763
RBM10,0.0009569138778531034,7.285262089250001,7.0962392151149425,-0.03329541803476488,-0.03792623067323341
ALS2CR12,0.0009603910719242492,6.437667901383928,5.992089725534483,-0.08912663349910588,-0.10347892786057962
SRGAP2P1,0.0011663135805420751,6.366248103549107,6.7226329356379315,0.06816281063621865,0.0785829963679579
IFITM1,0.0011992878540476553,11.433185036696427,11.660574393793103,0.026146937311118723,0.028411493686131755
SCFD2,0.0013359478245187867,6.108357926508929,5.804695498275862,-0.06298572273811809,-0.07356421262009798
C19orf45,0.0014051733538847984,4.5066020380803575,4.234278185948276,-0.07317174746824273,-0.08992400099980337
HLA-DRB4,0.0014293134041067606,3.907051653732143,3.0996187091264376,-0.2593667218490947,-0.33398957165951504
FAR2,0.0014316455674658964,6.667058661910714,7.0355280999482765,0.067719623659527,0.07760829781315133
REG3G,0.0016068836963569373,3.493110094964286,3.3236333504482762,-0.05547022683960545,-0.07175087524124427
KRT77,0.0017028136987620392,3.4167767303035714,2.779578743413793,-0.22476845901128528,-0.29776972461127776
RPS17,0.0017357770395299075,11.369527132369049,11.172697187011496,-0.023141478208831945,-0.025194745556877365
CCL23,0.0019142043629312346,3.494247169125,3.2041274732068965,-0.09627305641137518,-0.1250501172064962
LGALS12,0.001990967063865891,5.861772626392857,5.4863605882413795,-0.08117209315475904,-0.0954875623972886
MICB,0.0020551174285073645,7.724083634607142,8.043074552482757,0.051809756904689586,0.05838330711926746
FLJ43944,0.002154571530567817,4.645133441071429,4.356221446172414,-0.0757920758970747,-0.09264274705920711
CLEC3A,0.0022163893373449836,2.3518953172678576,2.193332270344828,-0.06991441806601428,-0.10069946328189011
AMZ2,0.0023462689251270157,7.886366462464286,7.640683807482758,-0.04044814840375688,-0.045658992056126696
VN1R1,0.0024508048252759435,2.32073919025,2.128893819448276,-0.08585171765873412,-0.12448040273287109
CASP5,0.002462406139395907,6.925678127553572,7.4867282036896565,0.09867409567383412,0.11238004064134306
DARC,0.0026212813384534385,5.356072150464286,4.689631699586207,-0.15980023419297806,-0.19170076994263385
KIAA0649,0.002641598610279702,5.986562444160714,5.735789982068966,-0.05273563297264294,-0.061735627768088226
CLRN3,0.0026440633069776615,3.4311976271428573,3.2000057456551727,-0.07730536955108258,-0.10063772789134041
LOC441046,0.002742009625419685,2.5327618420892857,2.2899731137586206,-0.10272070048910775,-0.14538076554591423
DDR1,0.0027890011504026046,4.511042954553572,4.351392242431034,-0.04241109354821937,-0.05198395369186888
CAPN14,0.002802660116894156,2.2026467453035714,1.982141820965517,-0.10291580724498806,-0.1521779478366634
WDR86,0.0028351571705765356,3.5485622644285715,3.146259601965517,-0.1336001540371976,-0.17359690633461677
RPL12,0.0028640315065196383,11.402978108214286,11.26474207218391,-0.016169676799531185,-0.017596380617243994
CHMP5,0.002866496573675889,8.77818083049107,9.081375828810344,0.04405454937475639,0.04898889241633693
SLC39A2,0.002949308665026399,2.238315576857143,2.055976341827586,-0.08361020982474598,-0.12258979063106114
COL5A3,0.0029535203595369955,4.074096342392857,3.7284374376724134,-0.10178740382615281,-0.12790896327446857
ANKRD28,0.003107014816239608,6.085396707202381,6.459550510678161,0.0742400697286354,0.08608246280286087
FLJ35024,0.0031091984835465237,2.5102566847321426,2.2875384602068958,-0.09456875803289266,-0.13403889408028768
LOC100288722,0.003128099733911106,2.791914454,2.564990991310345,-0.08902798624658748,-0.12230097830098666
LSR,0.00317709016402489,3.9797164731607144,3.6658754505862072,-0.0939158058658931,-0.11850788190730899
VRK1,0.0031985243920926243,6.469878712464286,6.247650642275863,-0.043571403349896176,-0.050424884253237476
LOC100129510,0.003301696621388961,4.244129225535715,3.961461071103448,-0.07993820296199461,-0.09943595912775371
FAM151A,0.0033525962524435416,2.4641784143749996,2.2473906023448276,-0.0932323094221208,-0.13285582506686866
MMP3,0.003601066072457535,1.6897276941964285,1.5298304821724136,-0.08841940627424938,-0.14341897038016926
